#          r            f            d         rho1         rho2         mass
 3.83041e+00  9.99989e-01  6.32469e-06  1.63471e-14  8.57587e-09  2.49997e-01
 4.00000e+00  9.99990e-01  5.51084e-06  4.03109e-15  6.85217e-09  2.49997e-01
 4.17709e+00  9.99991e-01  4.80171e-06  9.36090e-16  5.47492e-09  2.49998e-01
 4.36203e+00  9.99992e-01  4.18383e-06  2.04161e-16  4.37449e-09  2.49998e-01
 4.55515e+00  9.99992e-01  3.64546e-06  4.17042e-17  3.49523e-09  2.49998e-01
 4.75683e+00  9.99993e-01  3.17636e-06  7.95574e-18  2.79271e-09  2.49998e-01
 4.96743e+00  9.99994e-01  2.76763e-06  1.41306e-18  2.23139e-09  2.49998e-01
 5.18736e+00  9.99994e-01  2.41148e-06  2.32929e-19  1.78288e-09  2.49999e-01
 5.41702e+00  9.99995e-01  2.10117e-06  3.55204e-20  1.42453e-09  2.49999e-01
 5.65686e+00  9.99995e-01  1.83080e-06  4.99348e-21  1.13820e-09  2.49999e-01
 5.90731e+00  9.99996e-01  1.59521e-06  6.44817e-22  9.09429e-10  2.49999e-01
 6.16884e+00  9.99996e-01  1.38994e-06  7.61985e-23  7.26637e-10  2.49999e-01
 6.44196e+00  9.99996e-01  1.21108e-06  8.20776e-24  5.80586e-10  2.49999e-01
 6.72717e+00  9.99997e-01  1.05524e-06  8.02584e-25  4.63890e-10  2.49999e-01
 7.02501e+00  9.99997e-01  9.19448e-07  7.09393e-26  3.70650e-10  2.49999e-01
 7.33603e+00  9.99997e-01  8.01133e-07  5.64245e-27  2.96150e-10  2.49999e-01
 7.66082e+00  9.99998e-01  6.98042e-07  4.01983e-28  2.36625e-10  2.49999e-01
 8.00000e+00  9.99998e-01  6.08218e-07  2.55262e-29  1.89064e-10  2.49999e-01
 8.35419e+00  9.99998e-01  5.29950e-07  1.43735e-30  1.51062e-10  2.49999e-01
 8.72406e+00  9.99998e-01  4.61756e-07  7.13978e-32  1.20699e-10  2.50000e-01
 9.11031e+00  9.99998e-01  4.02336e-07  3.11109e-33  9.64391e-11  2.50000e-01
 9.51366e+00  9.99998e-01  3.50563e-07  1.18230e-34  7.70551e-11  2.50000e-01
 9.93486e+00  9.99999e-01  3.05453e-07  3.89491e-36  6.15673e-11  2.50000e-01
 1.03747e+01  9.99999e-01  2.66147e-07  1.10530e-37  4.91925e-11  2.50000e-01
 1.08340e+01  9.99999e-01  2.31899e-07  2.68409e-39  3.93049e-11  2.50000e-01
 1.13137e+01  9.99999e-01  2.02058e-07  5.53947e-41  3.14048e-11  2.50000e-01
 1.18146e+01  9.99999e-01  1.76057e-07  9.64093e-43  2.50925e-11  2.50000e-01
 1.23377e+01  9.99999e-01  1.53401e-07  1.40130e-44  2.00490e-11  2.50000e-01
 1.28839e+01  9.99999e-01  1.33662e-07  0.00000e+00  1.60192e-11  2.50000e-01
 1.34543e+01  9.99999e-01  1.16461e-07  0.00000e+00  1.27993e-11  2.50000e-01
 1.40500e+01  9.99999e-01  1.01475e-07  0.00000e+00  1.02267e-11  2.50000e-01
 1.46721e+01  9.99999e-01  8.84171e-08  0.00000e+00  8.17116e-12  2.50000e-01
 1.53217e+01  9.99999e-01  7.70395e-08  0.00000e+00  6.52878e-12  2.50000e-01
 1.60000e+01  1.00000e+00  6.71260e-08  0.00000e+00  5.21652e-12  2.50000e-01
